id,name,r,g,b
723,PVR,255,85,71
724,PVT,255,144,159
725,PVZ,255,93,80
726,PVa,255,93,80
727,PVi,255,93,80
728,PVp,255,85,71
729,PVpo,255,85,71
730,PYR,255,252,145
731,PYRgr,236,231,84
732,PYRmo,255,252,145
733,PYRpu,255,252,145
734,Pa4,255,144,255
735,Pa5,255,165,210
736,PeF,242,72,59
737,PoT,255,128,132
738,ProS,88,186,72
739,ProSd,88,186,72
740,ProSd-m,88,186,72
741,ProSd-sp,86,184,75
742,ProSd-sr,88,186,72
743,ProSv,88,186,72
744,ProSv-m,88,186,72
745,ProSv-sp,86,184,75
746,Prosv-sr,88,186,72
747,RAmb,255,166,255
748,RC,170,170,170
749,RCH,242,72,59
750,RE,255,144,159
751,REth,255,144,159
752,RH,255,144,159
753,RHP,50,184,37
754,RL,255,166,255
755,RM,255,198,226
756,RN,255,144,255
757,RO,255,198,226
758,RPA,255,198,226
759,RPF,255,144,255
